PE_Score,First_Semester,Second_Semester,Third_Semester,School_events_participated,in_a_club,gender,class_president,best_performing_subject_in_previous_grade,go_to_school_buy,scholarship
88,69,90,65,5,0,0,1,English,Parents,1
78,77,83,92,9,0,0,1,English,Parents,0
64,41,94,41,3,0,1,1,Science,Motorbike,1
92,99,91,59,5,0,0,0,Science,Walk,0
57,60,96,67,1,0,1,0,Math,Motorbike,0
70,72,42,86,9,0,0,0,English,Motorbike,1
88,51,76,99,1,0,1,0,English,Bus,0
68,97,90,46,9,1,0,0,English,Motorbike,0
72,61,46,83,3,0,0,0,Math,Bus,0
60,83,60,47,7,1,1,1,Math,Bus,0
60,64,48,86,6,1,1,0,Science,Motorbike,1
73,88,78,74,8,1,1,0,Math,Walk,0
85,66,57,53,7,0,0,0,English,Walk,1
89,98,43,56,4,0,1,1,English,Walk,0
73,81,64,75,1,0,0,0,Math,Walk,0
52,67,99,89,4,0,0,0,English,Walk,0
71,99,53,79,7,1,1,1,English,Motorbike,0
51,55,89,43,9,0,1,0,Math,Motorbike,1
73,54,97,41,8,0,0,0,Math,Parents,1
93,86,48,45,8,0,0,0,English,Walk,0
